vi_text,en_text,domain
"phát hiện xung đột","clash detection","engineering"
"bản sao kỹ thuật số","digital twin","engineering"
"đám mây điểm","point cloud","engineering"
"mô phỏng 4D","4D simulation","engineering"
"mặt cắt dọc","longitudinal section","architecture"
"mặt cắt ngang","cross section","architecture"
"phối cảnh 3D","3D rendering","architecture"
"bản vẽ phối cảnh","perspective drawing","architecture"
"mô hình kết cấu","structural model","engineering"
"mô hình kiến trúc","architectural model","architecture"
"mô hình cơ điện","MEP model","MEP"
"quản lý cơ sở hạ tầng","facility management","management"
"dầu khí","oil and gas","engineering"
"đường ống dẫn khí","gas pipeline","MEP"
"mặt bích","flange","materials"
"gioăng đệm","gasket","materials"
"đa tạp","manifold","MEP"
"tháp đuốc","flare stack","engineering"
"bình chịu áp lực","pressure vessel","equipment"
"sơ đồ P&ID","P&ID diagram","engineering"
"thanh tra hàn","welding inspector","QAQC"
"cấu kiện đúc sẵn","prefabricated component","construction"
"mô-đun hóa","modularization","construction"
"tấm tiêu âm","acoustic panel","architecture"
"lớp phủ veneer","veneer","materials"
"ván ép laminate","laminate","materials"
"láng nền","floor screeding","construction"
"đá mài terrazzo","terrazzo floor","materials"
"vách ngăn nhẹ","partition wall","architecture"
"cửa chống cháy","fire door","architecture"
"tay co thủy lực","door closer","architecture"
"bản lề sàn","floor hinge","architecture"
"ốp chân tường","baseboard","architecture"
"chỉ phào","architrave","architecture"
"trát tường","wall plastering","construction"
"bả matit","puttying","construction"
"xả nhám","sanding","construction"
"chống thấm ngược","negative side waterproofing","construction"
"màng khò nóng","torch-applied membrane","materials"
"chống thấm polyurethane","PU waterproofing","materials"
"vận đơn","bill of lading","management"
"thông quan","customs clearance","management"
"đơn vị giao nhận","freight forwarder","management"
"khu vực bốc dỡ","loading dock","management"
"xe nâng tay","pallet truck","equipment"
"kho trung chuyển","transit warehouse","management"
"mã vạch","barcode","management"
"lục giác","hex key","equipment"
"cưa tay","hacksaw","equipment"
"cưa đĩa","circular saw","equipment"
"cưa lọng","jigsaw","equipment"
"máy khoan búa","hammer drill","equipment"
"mũi khoan tường","masonry drill bit","equipment"
"mũi khoan sắt","HSS drill bit","equipment"
"mũi khoét lỗ","hole saw","equipment"
"đinh tán","rivet","materials"
"kìm bấm đinh tán","rivet gun","equipment"
"súng bắn keo silicone","silicone caulking gun","equipment"
"băng keo cách điện","electrical tape","materials"
"dây thít nhựa","cable tie","materials"
"ống gen co nhiệt","heat shrink tube","materials"
"phát thải VOC","VOC emission","environmental"
"dấu chân carbon","carbon footprint","environmental"
"chất thải nguy hại","hazardous waste","environmental"
"mũ bảo hộ","hard hat","safety"
"kính bảo hộ","safety goggles","safety"
"nút bịt tai","earplug","safety"
"chụp tai chống ồn","earmuff","safety"
"giày mũi thép","steel-toe boots","safety"
"áo phản quang","reflective vest","safety"
"găng tay chống cắt","cut-resistant gloves","safety"
"mặt nạ phòng độc","gas mask","safety"
"thí nghiệm xuyên tiêu chuẩn","SPT test","QAQC"
"thí nghiệm xuyên côn","CPT test","QAQC"
"gia cố nền đất","soil stabilization","engineering"
"bơm vữa gia cường","grouting","construction"
"cọc khoan nhồi đường kính nhỏ","micropile","construction"
"gia cố móng","underpinning","construction"
"tường chắn đất","retaining wall","engineering"
"rọ đá","gabion","materials"
"lưới địa kỹ thuật","geogrid","materials"
"vải địa kỹ thuật","geotextile","materials"
"bê tông nhựa rỗng","porous asphalt","materials"
"bê tông tự lèn","self-compacting concrete","materials"
"bê tông cường độ cao","high-strength concrete","materials"
"bê tông cốt sợi thủy tinh","GRC","materials"
"đá dăm tiêu chuẩn","macadam","materials"
"cốt liệu thô","coarse aggregate","materials"
"cốt liệu mịn","fine aggregate","materials"
"cát nghiền","manufactured sand","materials"
"tro bay","fly ash","materials"
"muội silic","silica fume","materials"
"lò nung xi măng","cement kiln","equipment"
"trạm trộn bê tông","batching plant","equipment"
"xe bồn trộn bê tông","transit mixer","equipment"
"máy bơm bê tông cần","boom pump","equipment"
"máy bơm bê tông tĩnh","stationary concrete pump","equipment"
"máy san gạt","motor grader","equipment"
"xe lu rung","vibratory roller","equipment"
"xe lu lốp","pneumatic tire roller","equipment"
"xe lu chân cừu","padfoot roller","equipment"
"máy đóng cọc","pile driver","equipment"
"búa rung","vibratory hammer","equipment"
"búa đóng cọc diesel","diesel pile hammer","equipment"
"giàn khoan cọc nhồi","rotary drilling rig","equipment"
"gầu khoan đất","earth auger","equipment"
"gầu khoan đá","rock bucket","equipment"
"ống đổ bê tông","tremie pipe","equipment"
"giàn giáo nêm","wedge lock scaffold","equipment"
"giàn giáo đĩa","ringlock scaffold","equipment"
"tuýp giàn giáo","scaffold tube","equipment"
"cùm xoay","swivel coupler","equipment"
"cùm tĩnh","fixed coupler","equipment"
"kích U","U-head jack","equipment"
"kích bằng","base jack","equipment"
"kẹp ván khuôn","formwork clamp","equipment"
"ty ren","threaded rod","materials"
"tán chuồn","wing nut","materials"
"ván khuôn phủ phim","film-faced plywood","materials"
"dầu lăn chống dính cốp pha","form release agent","materials"
"cáp giằng","guy wire","materials"
"cáp bọc nhựa","PVC coated wire rope","materials"
"tời quay tay","hand winch","equipment"
"palăng xích","chain block","equipment"
"cáp vải cẩu hàng","webbing sling","equipment"
"kẹp tôn dọc","vertical lifting clamp","equipment"
"kẹp tôn ngang","horizontal lifting clamp","equipment"
"nam châm cẩu hàng","lifting magnet","equipment"
"con lăn di chuyển máy","machine moving skate","equipment"
"đội thủy lực lùn","low profile hydraulic cylinder","equipment"
"bơm tay thủy lực","hydraulic hand pump","equipment"
"kìm bấm cốt thủy lực","hydraulic crimping tool","equipment"
"máy uốn sắt","rebar bender","equipment"
"máy cắt sắt","rebar cutter","equipment"
"máy mài góc","angle grinder","equipment"
"đá cắt","cutting disc","materials"
"đá mài","grinding disc","materials"
"nhám xếp","flap disc","materials"
"chổi cước thép","wire cup brush","equipment"
"kính hàn điện tử","auto-darkening welding helmet","safety"
"bạt chống cháy","fire blanket","safety"
"khí argon","argon gas","materials"
"khí acetylene","acetylene gas","materials"
"đèn khò gas","blowtorch","equipment"
"máy đo khoảng cách laser","laser distance meter","equipment"
"máy quét 3D laser","3D laser scanner","equipment"
"máy đo độ dày lớp phủ","coating thickness gauge","equipment"
"máy đo độ cứng bê tông","concrete test hammer","equipment"
"khuôn đúc mẫu bê tông","concrete cube mold","equipment"
"côn thử độ sụt","slump cone","equipment"
"bàn xoa bê tông","bull float","equipment"
"máy xoa nền bê tông","power trowel","equipment"
"máy cắt khe bê tông","concrete saw","equipment"
"lưỡi cắt kim cương","diamond blade","materials"
"bột xoa nền tăng cứng","floor hardener","materials"
"sơn kẻ vạch đường","road marking paint","materials"
"đinh phản quang","road stud","safety"
"cọc tiêu giao thông","traffic cone","safety"
"rào chắn di động","expandable barricade","safety"
"dải ruy băng cảnh báo","barricade tape","safety"
"chuông báo động cháy","fire alarm bell","safety"
"nút nhấn khẩn cấp","manual call point","safety"
"bình chữa cháy CO2","CO2 fire extinguisher","safety"
"bình chữa cháy bột","dry powder extinguisher","safety"
"lăng phun chữa cháy","fire hose nozzle","safety"
"trụ cứu hỏa ngoài nhà","fire hydrant","safety"
"van báo động","alarm check valve","MEP"
"công tắc dòng chảy","flow switch","MEP"
"bình tích áp","pressure tank","MEP"
"máy bơm bù áp","jockey pump","MEP"
"van an toàn","safety relief valve","MEP"
"lọc chữ Y","Y-strainer","MEP"
"mối nối mềm cao su","rubber flexible joint","MEP"
"cảm biến áp suất","pressure transmitter","MEP"
"cảm biến chênh áp","differential pressure sensor","MEP"
"cảm biến nhiệt độ phòng","room temperature sensor","MEP"
"bộ điều khiển DDC","DDC controller","MEP"
"máy nén lạnh","refrigerant compressor","MEP"
"dàn ngưng tụ","condenser","MEP"
"dàn bay hơi","evaporator","MEP"
"gas lạnh","refrigerant gas","MEP"
"ống đồng","copper tube","MEP"
"bảo ôn dạng ống","pipe insulation","MEP"
"keo bọt nở","PU foam","materials"
"băng keo nhôm","aluminum foil tape","materials"
"miệng gió khuếch tán","square ceiling diffuser","MEP"
"miệng gió lá sách","louver face diffuser","MEP"
"van điều chỉnh lưu lượng gió","volume control damper","MEP"
"van ngăn cháy","fire damper","MEP"
"quạt thông gió gắn mái","roof fan","MEP"
"quạt cấp khí tươi","fresh air fan","MEP"
"quạt hút khói hành lang","smoke exhaust fan","MEP"
"cáp chống cháy","fire resistant cable","MEP"
"cáp điều khiển","control cable","MEP"
"thang cáp nhôm","aluminum cable ladder","MEP"
"máng cáp mạ kẽm nhúng nóng","HDG cable tray","MEP"
"ống ruột gà lõi thép","flexible metallic conduit","MEP"
"hộp nối dây","junction box","MEP"
"tủ điện phân phối","distribution board","MEP"
"tủ bù công suất phản kháng","PFC panel","MEP"
"rơ le nhiệt","thermal overload relay","MEP"
"khởi động từ","contactor","MEP"
"cầu chì","fuse","MEP"
"đèn báo pha","indicator light","MEP"
"biến dòng đo lường","current transformer","MEP"
"đồng hồ đo vạn năng","multimeter","equipment"
"ampe kìm","clamp meter","equipment"
"máy đo điện trở đất","earth resistance tester","equipment"
"kim thu sét","lightning conductor","MEP"
"bãi tiếp địa","earthing system","MEP"
"cọc tiếp địa mạ đồng","copper-clad steel ground rod","MEP"
"hóa chất giảm điện trở đất","earth enhancing compound","materials"
"bản vẽ kiến trúc","architectural drawing","architecture"
"bản vẽ kết cấu","structural drawing","engineering"
"bản vẽ MEP","MEP drawing","MEP"
"hồ sơ mời thầu","bidding document","management"
"hồ sơ dự thầu kỹ thuật","technical proposal","management"
"hồ sơ dự thầu tài chính","financial proposal","management"
"chứng thư bảo lãnh","letter of guarantee","management"
"tiến độ giải ngân","disbursement schedule","management"
"ngân sách dự án","project budget","management"
"chi phí trực tiếp","direct cost","management"
"chi phí gián tiếp","indirect cost","management"
"quản lý rủi ro","risk management","management"
"họp giao ban hiện trường","site coordination meeting","management"
"báo cáo sự cố","incident report","management"
"biên bản bàn giao mặt bằng","site possession certificate","management"
"bản vẽ thiết kế cơ sở","basic design drawing","management"
"bản vẽ thiết kế bản vẽ thi công","construction design drawing","management"
"tiêu chuẩn xây dựng","construction standard","management"
"quy chuẩn kỹ thuật quốc gia","national technical regulation","management"
"giấy phép xây dựng","building permit","management"
"nghiệm thu phòng cháy chữa cháy","fire safety approval","QAQC"
"cấp chứng nhận công trình xanh","green building certification","environmental"
"đánh giá tác động xã hội","social impact assessment","environmental"
"kế hoạch quản lý môi trường","environmental management plan","environmental"
"trưởng ban quản lý dự án","project management board director","management"
"nhà thầu cung cấp thiết bị","equipment supplier","management"
"nhà tư vấn thiết kế","design consultant","management"
"tổng thầu EPC","EPC contractor","management"
"hợp đồng chìa khóa trao tay","turnkey contract","management"
"gói thầu thi công xây lắp","civil works package","management"
"hạng mục công trình","work item","management"
"dự toán chi tiết","detailed estimate","management"
"khấu hao tài sản","asset depreciation","management"
"bảo hiểm công trình","construction insurance","management"
"bảo hiểm tai nạn con người","personal accident insurance","management"
"chi phí dự phòng","contingency sum","management"
"bàn giao đưa vào sử dụng","commissioning and handover","management"
