vi,en
"Ê bạn ơi, cẩu tháp đang kêu to lắm, lập biên bản!","Hey buddy, the tower crane is making a loud noise, make a report!"
"Ê bạn ơi, cẩu tháp hư motor rồi, cúp điện khẩn cấp!","Hey buddy, the tower crane has motor failure, cut the power urgently!"
"Khẩn cấp, cẩu tháp bị rò điện, chụp hình lại!","Urgent, the tower crane has an electrical leakage, take a picture!"
"Nhanh lên, máy xúc số ba bị tuột sên, kiểm tra lẹ giùm mình!","Hurry up, excavator number three slipped its chain, please check it immediately!"
"Lưu ý, xe lu đang kêu to lắm, cúp điện khẩn cấp!","Attention, the road roller is making a loud noise, cut the power urgently!"
"Báo cáo cai thầu, xe cẩu bị rò điện.","Report to foreman, the crane truck has an electrical leakage."
"Nhanh lên, xe cẩu bị kẹt cứng rồi, đổi máy khác!","Hurry up, the crane truck is jammed, switch to another machine!"
"Lưu ý, cẩu tháp bị rò điện, tránh xa ra!","Attention, the tower crane has an electrical leakage, stay away!"
"Lưu ý, máy trộn bê tông hư motor rồi, kiểm tra lẹ giùm mình!","Attention, the concrete mixer has motor failure, please check it immediately!"
"Ê bạn ơi, cẩu tháp không khởi động được, cúp điện khẩn cấp!","Hey buddy, the tower crane won't start, cut the power urgently!"
"Báo cáo chỉ huy trưởng, máy rải nhựa bị xì nhớt thủy lực.","Report to site manager, the asphalt paver is leaking hydraulic fluid."
"Nhanh lên, máy xúc số ba bị nổ lốp, cúp điện khẩn cấp!","Hurry up, excavator number three has a tire blowout, cut the power urgently!"
"Ê bạn ơi, xe cẩu bị kẹt cứng rồi, dừng máy ngay!","Hey buddy, the crane truck is jammed, stop the machine immediately!"
"Khẩn cấp, xe cẩu bị nổ lốp, gọi thợ sửa đi!","Urgent, the crane truck has a tire blowout, call the repairman!"
"Anh em ơi, máy trộn bê tông bị tuột sên, đổi máy khác!","Guys, the concrete mixer slipped its chain, switch to another machine!"
"Cảnh báo, xe ủi hư motor rồi, tránh xa ra!","Warning, the bulldozer has motor failure, stay away!"
"Nhanh lên, xe cẩu hư motor rồi, dừng máy ngay!","Hurry up, the crane truck has motor failure, stop the machine immediately!"
"Ê bạn ơi, máy hàn không khởi động được, tránh xa ra!","Hey buddy, the welding machine won't start, stay away!"
"Cảnh báo, máy rải nhựa hư motor rồi, chụp hình lại!","Warning, the asphalt paver has motor failure, take a picture!"
"Trời ơi, máy hàn bị nổ lốp, cúp điện khẩn cấp!","Oh my god, the welding machine has a tire blowout, cut the power urgently!"
"Báo cáo anh thợ máy, xe lu vừa bốc khói.","Report to mechanic, the road roller just emitted smoke."
"Lưu ý, máy xúc số ba vừa bốc khói, chụp hình lại!","Attention, excavator number three just emitted smoke, take a picture!"
"Nhanh lên, máy xúc số ba đang kêu to lắm, báo cáo giám sát!","Hurry up, excavator number three is making a loud noise, report to the supervisor!"
"Trời ơi, máy xúc số ba bị nổ lốp, cúp điện khẩn cấp!","Oh my god, excavator number three has a tire blowout, cut the power urgently!"
"Báo cáo đội trưởng, máy xúc số ba bị kẹt cứng rồi.","Report to crew chief, excavator number three is jammed."
"Trời ơi, máy trộn bê tông bị rò điện, gọi đội bảo trì!","Oh my god, the concrete mixer has an electrical leakage, call the maintenance team!"
"Báo cáo cai thầu, máy đóng cọc không khởi động được.","Report to foreman, the pile driver won't start."
"Ê bạn ơi, xe lu không khởi động được, gọi thợ sửa đi!","Hey buddy, the road roller won't start, call the repairman!"
"Ê bạn ơi, xe cẩu bị kẹt cứng rồi, đổi máy khác!","Hey buddy, the crane truck is jammed, switch to another machine!"
"Cảnh báo, máy rải nhựa đang kêu to lắm, cúp điện khẩn cấp!","Warning, the asphalt paver is making a loud noise, cut the power urgently!"
"Trời ơi, bơm chìm không khởi động được, dừng máy ngay!","Oh my god, the submersible pump won't start, stop the machine immediately!"
"Nhanh lên, máy đóng cọc hư motor rồi, dừng máy ngay!","Hurry up, the pile driver has motor failure, stop the machine immediately!"
"Nhanh lên, xe ủi bị nổ lốp, gọi thợ sửa đi!","Hurry up, the bulldozer has a tire blowout, call the repairman!"
"Nhanh lên, xe ủi vừa bốc khói, gọi thợ sửa đi!","Hurry up, the bulldozer just emitted smoke, call the repairman!"
"Nhanh lên, máy đóng cọc bị nổ lốp, lập biên bản!","Hurry up, the pile driver has a tire blowout, make a report!"
"Khẩn cấp, cẩu tháp hư motor rồi, chụp hình lại!","Urgent, the tower crane has motor failure, take a picture!"
"Anh em ơi, máy rải nhựa bị nổ lốp, chụp hình lại!","Guys, the asphalt paver has a tire blowout, take a picture!"
"Báo cáo cai thầu, xe lu đang kêu to lắm.","Report to foreman, the road roller is making a loud noise."
"Khẩn cấp, cẩu tháp bị rò điện, cúp điện khẩn cấp!","Urgent, the tower crane has an electrical leakage, cut the power urgently!"
"Báo cáo đội trưởng, máy đóng cọc bị tuột sên.","Report to crew chief, the pile driver slipped its chain."
"Báo cáo anh thợ máy, máy trộn bê tông vừa bốc khói.","Report to mechanic, the concrete mixer just emitted smoke."
"Nhanh lên, cẩu tháp đang kêu to lắm, cúp điện khẩn cấp!","Hurry up, the tower crane is making a loud noise, cut the power urgently!"
"Báo cáo chỉ huy trưởng, máy xúc số ba vừa bốc khói.","Report to site manager, excavator number three just emitted smoke."
"Cảnh báo, máy trộn bê tông không khởi động được, chụp hình lại!","Warning, the concrete mixer won't start, take a picture!"
"Báo cáo tổ đội, xe lu bị tuột sên.","Report to the crew, the road roller slipped its chain."
"Khẩn cấp, máy rải nhựa bị xì nhớt thủy lực, dừng máy ngay!","Urgent, the asphalt paver is leaking hydraulic fluid, stop the machine immediately!"
"Nhanh lên, xe lu không khởi động được, gọi thợ sửa đi!","Hurry up, the road roller won't start, call the repairman!"
"Cảnh báo, cẩu tháp bị rò điện, dừng máy ngay!","Warning, the tower crane has an electrical leakage, stop the machine immediately!"
"Ê bạn ơi, máy xúc số ba bị nổ lốp, gọi đội bảo trì!","Hey buddy, excavator number three has a tire blowout, call the maintenance team!"
"Cảnh báo, xe cẩu bị xì nhớt thủy lực, dừng máy ngay!","Warning, the crane truck is leaking hydraulic fluid, stop the machine immediately!"
"Cảnh báo, xe lu không khởi động được, kiểm tra lẹ giùm mình!","Warning, the road roller won't start, please check it immediately!"
"Cảnh báo, xe ủi đang kêu to lắm, gọi thợ sửa đi!","Warning, the bulldozer is making a loud noise, call the repairman!"
"Cảnh báo, máy trộn bê tông vừa bốc khói, dừng máy ngay!","Warning, the concrete mixer just emitted smoke, stop the machine immediately!"
"Lưu ý, xe cẩu hư motor rồi, đổi máy khác!","Attention, the crane truck has motor failure, switch to another machine!"
"Nhanh lên, xe cẩu không khởi động được, gọi đội bảo trì!","Hurry up, the crane truck won't start, call the maintenance team!"
"Trời ơi, bơm chìm vừa bốc khói, gọi đội bảo trì!","Oh my god, the submersible pump just emitted smoke, call the maintenance team!"
"Trời ơi, xe cẩu bị kẹt cứng rồi, đổi máy khác!","Oh my god, the crane truck is jammed, switch to another machine!"
"Lưu ý, bơm chìm bị tuột sên, gọi thợ sửa đi!","Attention, the submersible pump slipped its chain, call the repairman!"
"Khẩn cấp, bơm chìm bị rò điện, gọi thợ sửa đi!","Urgent, the submersible pump has an electrical leakage, call the repairman!"
"Trời ơi, máy đóng cọc hư motor rồi, chụp hình lại!","Oh my god, the pile driver has motor failure, take a picture!"
"Trời ơi, máy rải nhựa bị rò điện, báo cáo giám sát!","Oh my god, the asphalt paver has an electrical leakage, report to the supervisor!"
"Nhanh lên, xe lu hư motor rồi, kiểm tra lẹ giùm mình!","Hurry up, the road roller has motor failure, please check it immediately!"
"Trời ơi, xe ủi bị kẹt cứng rồi, lập biên bản!","Oh my god, the bulldozer is jammed, make a report!"
"Nhanh lên, bơm chìm hư motor rồi, dừng máy ngay!","Hurry up, the submersible pump has motor failure, stop the machine immediately!"
"Khẩn cấp, xe ủi bị kẹt cứng rồi, báo cáo giám sát!","Urgent, the bulldozer is jammed, report to the supervisor!"
"Báo cáo công nhân hàn, máy rải nhựa bị kẹt cứng rồi.","Report to welder, the asphalt paver is jammed."
"Lưu ý, máy xúc số ba bị kẹt cứng rồi, gọi thợ sửa đi!","Attention, excavator number three is jammed, call the repairman!"
"Trời ơi, xe lu hư motor rồi, gọi thợ sửa đi!","Oh my god, the road roller has motor failure, call the repairman!"
"Báo cáo tổ đội, cẩu tháp bị tuột sên.","Report to the crew, the tower crane slipped its chain."
"Cảnh báo, xe lu bị nổ lốp, lập biên bản!","Warning, the road roller has a tire blowout, make a report!"
"Lưu ý, xe ủi bị tuột sên, kiểm tra lẹ giùm mình!","Attention, the bulldozer slipped its chain, please check it immediately!"
"Khẩn cấp, bơm chìm vừa bốc khói, dừng máy ngay!","Urgent, the submersible pump just emitted smoke, stop the machine immediately!"
"Anh em ơi, máy xúc số ba hư motor rồi, gọi thợ sửa đi!","Guys, excavator number three has motor failure, call the repairman!"
"Nhanh lên, máy trộn bê tông đang kêu to lắm, kiểm tra lẹ giùm mình!","Hurry up, the concrete mixer is making a loud noise, please check it immediately!"
"Ê bạn ơi, máy trộn bê tông bị nổ lốp, gọi thợ sửa đi!","Hey buddy, the concrete mixer has a tire blowout, call the repairman!"
"Nhanh lên, máy trộn bê tông bị kẹt cứng rồi, chụp hình lại!","Hurry up, the concrete mixer is jammed, take a picture!"
"Anh em ơi, máy đóng cọc vừa bốc khói, đổi máy khác!","Guys, the pile driver just emitted smoke, switch to another machine!"
"Báo cáo công nhân hàn, bơm chìm bị nổ lốp.","Report to welder, the submersible pump has a tire blowout."
"Anh em ơi, xe ủi vừa bốc khói, chụp hình lại!","Guys, the bulldozer just emitted smoke, take a picture!"
"Anh em ơi, máy rải nhựa bị rò điện, báo cáo giám sát!","Guys, the asphalt paver has an electrical leakage, report to the supervisor!"
"Cảnh báo, bơm chìm vừa bốc khói, dừng máy ngay!","Warning, the submersible pump just emitted smoke, stop the machine immediately!"
"Nhanh lên, xe lu bị xì nhớt thủy lực, báo cáo giám sát!","Hurry up, the road roller is leaking hydraulic fluid, report to the supervisor!"
"Cảnh báo, máy xúc số ba bị nổ lốp, báo cáo giám sát!","Warning, excavator number three has a tire blowout, report to the supervisor!"
"Anh em ơi, xe ủi bị rò điện, cúp điện khẩn cấp!","Guys, the bulldozer has an electrical leakage, cut the power urgently!"
"Khẩn cấp, cẩu tháp bị tuột sên, báo cáo giám sát!","Urgent, the tower crane slipped its chain, report to the supervisor!"
"Lưu ý, máy rải nhựa bị rò điện, cúp điện khẩn cấp!","Attention, the asphalt paver has an electrical leakage, cut the power urgently!"
"Báo cáo tổ đội, xe lu bị xì nhớt thủy lực.","Report to the crew, the road roller is leaking hydraulic fluid."
"Khẩn cấp, máy trộn bê tông bị kẹt cứng rồi, kiểm tra lẹ giùm mình!","Urgent, the concrete mixer is jammed, please check it immediately!"
"Trời ơi, bơm chìm không khởi động được, báo cáo giám sát!","Oh my god, the submersible pump won't start, report to the supervisor!"
"Cảnh báo, máy đóng cọc bị kẹt cứng rồi, lập biên bản!","Warning, the pile driver is jammed, make a report!"
"Lưu ý, máy rải nhựa vừa bốc khói, kiểm tra lẹ giùm mình!","Attention, the asphalt paver just emitted smoke, please check it immediately!"
"Khẩn cấp, máy xúc số ba bị nổ lốp, chụp hình lại!","Urgent, excavator number three has a tire blowout, take a picture!"
"Trời ơi, máy trộn bê tông hư motor rồi, đổi máy khác!","Oh my god, the concrete mixer has motor failure, switch to another machine!"
"Nhanh lên, xe cẩu đang kêu to lắm, lập biên bản!","Hurry up, the crane truck is making a loud noise, make a report!"
"Báo cáo đội trưởng, xe cẩu hư motor rồi.","Report to crew chief, the crane truck has motor failure."
"Nhanh lên, xe ủi bị tuột sên, dừng máy ngay!","Hurry up, the bulldozer slipped its chain, stop the machine immediately!"
"Trời ơi, máy hàn bị tuột sên, gọi thợ sửa đi!","Oh my god, the welding machine slipped its chain, call the repairman!"
"Cảnh báo, bơm chìm hư motor rồi, gọi đội bảo trì!","Warning, the submersible pump has motor failure, call the maintenance team!"
"Anh em ơi, xe cẩu bị tuột sên, đổi máy khác!","Guys, the crane truck slipped its chain, switch to another machine!"
"Anh em ơi, máy rải nhựa không khởi động được, dừng máy ngay!","Guys, the asphalt paver won't start, stop the machine immediately!"
"Lưu ý, máy trộn bê tông đang kêu to lắm, gọi đội bảo trì!","Attention, the concrete mixer is making a loud noise, call the maintenance team!"
"Khẩn cấp, máy trộn bê tông hư motor rồi, gọi đội bảo trì!","Urgent, the concrete mixer has motor failure, call the maintenance team!"
"Trời ơi, cẩu tháp hư motor rồi, báo cáo giám sát!","Oh my god, the tower crane has motor failure, report to the supervisor!"
"Lưu ý, bơm chìm bị xì nhớt thủy lực, gọi đội bảo trì!","Attention, the submersible pump is leaking hydraulic fluid, call the maintenance team!"
"Trời ơi, máy xúc số ba hư motor rồi, đổi máy khác!","Oh my god, excavator number three has motor failure, switch to another machine!"
"Báo cáo anh thợ máy, máy đóng cọc bị tuột sên.","Report to mechanic, the pile driver slipped its chain."
"Nhanh lên, xe lu hư motor rồi, gọi thợ sửa đi!","Hurry up, the road roller has motor failure, call the repairman!"
"Trời ơi, máy hàn bị nổ lốp, báo cáo giám sát!","Oh my god, the welding machine has a tire blowout, report to the supervisor!"
"Báo cáo đội trưởng, máy đóng cọc bị xì nhớt thủy lực.","Report to crew chief, the pile driver is leaking hydraulic fluid."
"Trời ơi, máy hàn đang kêu to lắm, gọi đội bảo trì!","Oh my god, the welding machine is making a loud noise, call the maintenance team!"
"Khẩn cấp, cẩu tháp bị tuột sên, tránh xa ra!","Urgent, the tower crane slipped its chain, stay away!"
"Khẩn cấp, máy hàn đang kêu to lắm, tránh xa ra!","Urgent, the welding machine is making a loud noise, stay away!"
"Ê bạn ơi, máy đóng cọc bị kẹt cứng rồi, kiểm tra lẹ giùm mình!","Hey buddy, the pile driver is jammed, please check it immediately!"
"Cảnh báo, máy rải nhựa đang kêu to lắm, đổi máy khác!","Warning, the asphalt paver is making a loud noise, switch to another machine!"
"Cảnh báo, máy trộn bê tông bị xì nhớt thủy lực, báo cáo giám sát!","Warning, the concrete mixer is leaking hydraulic fluid, report to the supervisor!"
"Ê bạn ơi, máy đóng cọc bị nổ lốp, kiểm tra lẹ giùm mình!","Hey buddy, the pile driver has a tire blowout, please check it immediately!"
"Anh em ơi, xe ủi đang kêu to lắm, kiểm tra lẹ giùm mình!","Guys, the bulldozer is making a loud noise, please check it immediately!"
"Trời ơi, máy đóng cọc vừa bốc khói, báo cáo giám sát!","Oh my god, the pile driver just emitted smoke, report to the supervisor!"
"Lưu ý, máy trộn bê tông bị xì nhớt thủy lực, đổi máy khác!","Attention, the concrete mixer is leaking hydraulic fluid, switch to another machine!"
"Nhanh lên, máy đóng cọc bị xì nhớt thủy lực, tránh xa ra!","Hurry up, the pile driver is leaking hydraulic fluid, stay away!"
"Khẩn cấp, máy xúc số ba bị rò điện, lập biên bản!","Urgent, excavator number three has an electrical leakage, make a report!"
"Cảnh báo, bơm chìm không khởi động được, dừng máy ngay!","Warning, the submersible pump won't start, stop the machine immediately!"
"Báo cáo đội trưởng, cẩu tháp đang kêu to lắm.","Report to crew chief, the tower crane is making a loud noise."
"Cảnh báo, cẩu tháp vừa bốc khói, kiểm tra lẹ giùm mình!","Warning, the tower crane just emitted smoke, please check it immediately!"
"Cảnh báo, xe cẩu đang kêu to lắm, đổi máy khác!","Warning, the crane truck is making a loud noise, switch to another machine!"
"Báo cáo kỹ sư, xe cẩu bị kẹt cứng rồi.","Report to engineer, the crane truck is jammed."
"Nhanh lên, xe ủi đang kêu to lắm, dừng máy ngay!","Hurry up, the bulldozer is making a loud noise, stop the machine immediately!"
"Lưu ý, máy hàn đang kêu to lắm, lập biên bản!","Attention, the welding machine is making a loud noise, make a report!"
"Khẩn cấp, máy xúc số ba vừa bốc khói, gọi đội bảo trì!","Urgent, excavator number three just emitted smoke, call the maintenance team!"
"Ê bạn ơi, máy hàn bị nổ lốp, dừng máy ngay!","Hey buddy, the welding machine has a tire blowout, stop the machine immediately!"
"Khẩn cấp, máy rải nhựa bị kẹt cứng rồi, dừng máy ngay!","Urgent, the asphalt paver is jammed, stop the machine immediately!"
"Báo cáo công nhân hàn, máy đóng cọc vừa bốc khói.","Report to welder, the pile driver just emitted smoke."
"Ê bạn ơi, xe cẩu bị tuột sên, báo cáo giám sát!","Hey buddy, the crane truck slipped its chain, report to the supervisor!"
"Cảnh báo, máy đóng cọc bị kẹt cứng rồi, kiểm tra lẹ giùm mình!","Warning, the pile driver is jammed, please check it immediately!"
"Trời ơi, cẩu tháp không khởi động được, chụp hình lại!","Oh my god, the tower crane won't start, take a picture!"
"Lưu ý, máy hàn hư motor rồi, tránh xa ra!","Attention, the welding machine has motor failure, stay away!"
"Báo cáo đội trưởng, xe lu bị xì nhớt thủy lực.","Report to crew chief, the road roller is leaking hydraulic fluid."
"Báo cáo kỹ sư, xe lu không khởi động được.","Report to engineer, the road roller won't start."
"Cảnh báo, máy rải nhựa không khởi động được, kiểm tra lẹ giùm mình!","Warning, the asphalt paver won't start, please check it immediately!"
"Trời ơi, bơm chìm bị xì nhớt thủy lực, báo cáo giám sát!","Oh my god, the submersible pump is leaking hydraulic fluid, report to the supervisor!"
"Anh em ơi, máy đóng cọc bị tuột sên, dừng máy ngay!","Guys, the pile driver slipped its chain, stop the machine immediately!"
"Cảnh báo, máy trộn bê tông bị nổ lốp, kiểm tra lẹ giùm mình!","Warning, the concrete mixer has a tire blowout, please check it immediately!"
"Lưu ý, máy rải nhựa hư motor rồi, gọi thợ sửa đi!","Attention, the asphalt paver has motor failure, call the repairman!"
"Lưu ý, xe ủi không khởi động được, dừng máy ngay!","Attention, the bulldozer won't start, stop the machine immediately!"
"Lưu ý, máy trộn bê tông bị nổ lốp, chụp hình lại!","Attention, the concrete mixer has a tire blowout, take a picture!"
"Ê bạn ơi, máy hàn hư motor rồi, lập biên bản!","Hey buddy, the welding machine has motor failure, make a report!"
"Báo cáo công nhân hàn, máy rải nhựa không khởi động được.","Report to welder, the asphalt paver won't start."
"Khẩn cấp, máy đóng cọc bị xì nhớt thủy lực, gọi thợ sửa đi!","Urgent, the pile driver is leaking hydraulic fluid, call the repairman!"
"Anh em ơi, máy rải nhựa bị tuột sên, đổi máy khác!","Guys, the asphalt paver slipped its chain, switch to another machine!"
"Ê bạn ơi, máy trộn bê tông bị tuột sên, cúp điện khẩn cấp!","Hey buddy, the concrete mixer slipped its chain, cut the power urgently!"
"Báo cáo cai thầu, cẩu tháp không khởi động được.","Report to foreman, the tower crane won't start."
"Nhanh lên, xe lu bị tuột sên, tránh xa ra!","Hurry up, the road roller slipped its chain, stay away!"
"Khẩn cấp, xe ủi hư motor rồi, kiểm tra lẹ giùm mình!","Urgent, the bulldozer has motor failure, please check it immediately!"
"Cảnh báo, máy hàn vừa bốc khói, cúp điện khẩn cấp!","Warning, the welding machine just emitted smoke, cut the power urgently!"
"Anh em ơi, máy rải nhựa bị tuột sên, cúp điện khẩn cấp!","Guys, the asphalt paver slipped its chain, cut the power urgently!"
"Nhanh lên, xe cẩu bị kẹt cứng rồi, chụp hình lại!","Hurry up, the crane truck is jammed, take a picture!"
"Cảnh báo, máy xúc số ba bị xì nhớt thủy lực, lập biên bản!","Warning, excavator number three is leaking hydraulic fluid, make a report!"
"Trời ơi, xe lu đang kêu to lắm, đổi máy khác!","Oh my god, the road roller is making a loud noise, switch to another machine!"
"Trời ơi, cẩu tháp bị nổ lốp, chụp hình lại!","Oh my god, the tower crane has a tire blowout, take a picture!"
"Lưu ý, xe lu vừa bốc khói, đổi máy khác!","Attention, the road roller just emitted smoke, switch to another machine!"
"Báo cáo công nhân hàn, cẩu tháp bị kẹt cứng rồi.","Report to welder, the tower crane is jammed."
"Trời ơi, máy đóng cọc vừa bốc khói, tránh xa ra!","Oh my god, the pile driver just emitted smoke, stay away!"
"Báo cáo công nhân hàn, cẩu tháp bị rò điện.","Report to welder, the tower crane has an electrical leakage."
"Lưu ý, máy hàn bị tuột sên, kiểm tra lẹ giùm mình!","Attention, the welding machine slipped its chain, please check it immediately!"
"Lưu ý, xe ủi bị rò điện, dừng máy ngay!","Attention, the bulldozer has an electrical leakage, stop the machine immediately!"
"Lưu ý, xe lu bị rò điện, tránh xa ra!","Attention, the road roller has an electrical leakage, stay away!"
"Trời ơi, máy trộn bê tông đang kêu to lắm, lập biên bản!","Oh my god, the concrete mixer is making a loud noise, make a report!"
"Ê bạn ơi, máy hàn bị tuột sên, đổi máy khác!","Hey buddy, the welding machine slipped its chain, switch to another machine!"
"Khẩn cấp, cẩu tháp không khởi động được, dừng máy ngay!","Urgent, the tower crane won't start, stop the machine immediately!"
"Báo cáo tổ đội, cẩu tháp bị kẹt cứng rồi.","Report to the crew, the tower crane is jammed."
"Trời ơi, máy đóng cọc không khởi động được, lập biên bản!","Oh my god, the pile driver won't start, make a report!"
"Anh em ơi, bơm chìm vừa bốc khói, gọi đội bảo trì!","Guys, the submersible pump just emitted smoke, call the maintenance team!"
"Nhanh lên, xe cẩu bị xì nhớt thủy lực, gọi đội bảo trì!","Hurry up, the crane truck is leaking hydraulic fluid, call the maintenance team!"
"Ê bạn ơi, bơm chìm bị kẹt cứng rồi, báo cáo giám sát!","Hey buddy, the submersible pump is jammed, report to the supervisor!"
"Anh em ơi, xe ủi vừa bốc khói, cúp điện khẩn cấp!","Guys, the bulldozer just emitted smoke, cut the power urgently!"
"Anh em ơi, máy đóng cọc bị rò điện, báo cáo giám sát!","Guys, the pile driver has an electrical leakage, report to the supervisor!"
"Báo cáo kỹ sư, máy trộn bê tông bị tuột sên.","Report to engineer, the concrete mixer slipped its chain."
"Trời ơi, cẩu tháp hư motor rồi, lập biên bản!","Oh my god, the tower crane has motor failure, make a report!"
"Nhanh lên, máy hàn hư motor rồi, báo cáo giám sát!","Hurry up, the welding machine has motor failure, report to the supervisor!"
"Anh em ơi, máy xúc số ba đang kêu to lắm, cúp điện khẩn cấp!","Guys, excavator number three is making a loud noise, cut the power urgently!"
"Ê bạn ơi, cẩu tháp bị kẹt cứng rồi, cúp điện khẩn cấp!","Hey buddy, the tower crane is jammed, cut the power urgently!"
"Cảnh báo, bơm chìm bị kẹt cứng rồi, đổi máy khác!","Warning, the submersible pump is jammed, switch to another machine!"
"Trời ơi, xe ủi bị tuột sên, kiểm tra lẹ giùm mình!","Oh my god, the bulldozer slipped its chain, please check it immediately!"
"Anh em ơi, máy hàn bị kẹt cứng rồi, tránh xa ra!","Guys, the welding machine is jammed, stay away!"
"Báo cáo cai thầu, xe cẩu đang kêu to lắm.","Report to foreman, the crane truck is making a loud noise."
"Nhanh lên, xe lu bị nổ lốp, chụp hình lại!","Hurry up, the road roller has a tire blowout, take a picture!"
"Khẩn cấp, máy trộn bê tông bị nổ lốp, báo cáo giám sát!","Urgent, the concrete mixer has a tire blowout, report to the supervisor!"
"Cảnh báo, máy hàn bị rò điện, dừng máy ngay!","Warning, the welding machine has an electrical leakage, stop the machine immediately!"
"Lưu ý, máy trộn bê tông bị kẹt cứng rồi, kiểm tra lẹ giùm mình!","Attention, the concrete mixer is jammed, please check it immediately!"
"Lưu ý, xe cẩu bị kẹt cứng rồi, cúp điện khẩn cấp!","Attention, the crane truck is jammed, cut the power urgently!"
"Khẩn cấp, xe ủi bị rò điện, lập biên bản!","Urgent, the bulldozer has an electrical leakage, make a report!"
"Lưu ý, bơm chìm bị xì nhớt thủy lực, đổi máy khác!","Attention, the submersible pump is leaking hydraulic fluid, switch to another machine!"
"Báo cáo kỹ sư, máy trộn bê tông không khởi động được.","Report to engineer, the concrete mixer won't start."
"Khẩn cấp, máy rải nhựa hư motor rồi, báo cáo giám sát!","Urgent, the asphalt paver has motor failure, report to the supervisor!"
"Khẩn cấp, bơm chìm vừa bốc khói, cúp điện khẩn cấp!","Urgent, the submersible pump just emitted smoke, cut the power urgently!"
"Khẩn cấp, máy rải nhựa bị tuột sên, gọi đội bảo trì!","Urgent, the asphalt paver slipped its chain, call the maintenance team!"
"Lưu ý, máy xúc số ba đang kêu to lắm, cúp điện khẩn cấp!","Attention, excavator number three is making a loud noise, cut the power urgently!"
"Báo cáo tổ đội, xe cẩu không khởi động được.","Report to the crew, the crane truck won't start."
"Báo cáo đội trưởng, xe cẩu đang kêu to lắm.","Report to crew chief, the crane truck is making a loud noise."
"Lưu ý, máy rải nhựa bị rò điện, gọi thợ sửa đi!","Attention, the asphalt paver has an electrical leakage, call the repairman!"
"Anh em ơi, cẩu tháp đang kêu to lắm, cúp điện khẩn cấp!","Guys, the tower crane is making a loud noise, cut the power urgently!"
"Anh em ơi, máy đóng cọc bị nổ lốp, báo cáo giám sát!","Guys, the pile driver has a tire blowout, report to the supervisor!"
"Nhanh lên, máy đóng cọc không khởi động được, đổi máy khác!","Hurry up, the pile driver won't start, switch to another machine!"
"Anh em ơi, máy hàn bị rò điện, kiểm tra lẹ giùm mình!","Guys, the welding machine has an electrical leakage, please check it immediately!"
"Nhanh lên, máy rải nhựa vừa bốc khói, gọi thợ sửa đi!","Hurry up, the asphalt paver just emitted smoke, call the repairman!"
"Báo cáo giám sát, máy trộn bê tông vừa bốc khói.","Report to supervisor, the concrete mixer just emitted smoke."
"Ê bạn ơi, máy đóng cọc bị xì nhớt thủy lực, đổi máy khác!","Hey buddy, the pile driver is leaking hydraulic fluid, switch to another machine!"
"Báo cáo chỉ huy trưởng, máy rải nhựa bị kẹt cứng rồi.","Report to site manager, the asphalt paver is jammed."
"Ê bạn ơi, máy đóng cọc bị nổ lốp, tránh xa ra!","Hey buddy, the pile driver has a tire blowout, stay away!"
"Anh em ơi, máy đóng cọc không khởi động được, gọi thợ sửa đi!","Guys, the pile driver won't start, call the repairman!"
"Báo cáo tổ đội, xe cẩu hư motor rồi.","Report to the crew, the crane truck has motor failure."
"Anh em ơi, cẩu tháp bị tuột sên, gọi đội bảo trì!","Guys, the tower crane slipped its chain, call the maintenance team!"
"Báo cáo cai thầu, máy xúc số ba bị kẹt cứng rồi.","Report to foreman, excavator number three is jammed."
"Lưu ý, cẩu tháp bị rò điện, báo cáo giám sát!","Attention, the tower crane has an electrical leakage, report to the supervisor!"
"Cảnh báo, máy đóng cọc hư motor rồi, đổi máy khác!","Warning, the pile driver has motor failure, switch to another machine!"
"Ê bạn ơi, cẩu tháp bị nổ lốp, tránh xa ra!","Hey buddy, the tower crane has a tire blowout, stay away!"
"Cảnh báo, xe cẩu không khởi động được, dừng máy ngay!","Warning, the crane truck won't start, stop the machine immediately!"
"Ê bạn ơi, bơm chìm hư motor rồi, báo cáo giám sát!","Hey buddy, the submersible pump has motor failure, report to the supervisor!"
"Lưu ý, máy hàn vừa bốc khói, dừng máy ngay!","Attention, the welding machine just emitted smoke, stop the machine immediately!"
"Ê bạn ơi, xe ủi đang kêu to lắm, tránh xa ra!","Hey buddy, the bulldozer is making a loud noise, stay away!"
"Ê bạn ơi, máy trộn bê tông vừa bốc khói, chụp hình lại!","Hey buddy, the concrete mixer just emitted smoke, take a picture!"
"Khẩn cấp, xe ủi đang kêu to lắm, gọi đội bảo trì!","Urgent, the bulldozer is making a loud noise, call the maintenance team!"
"Ê bạn ơi, máy rải nhựa bị xì nhớt thủy lực, tránh xa ra!","Hey buddy, the asphalt paver is leaking hydraulic fluid, stay away!"
"Anh em ơi, xe cẩu hư motor rồi, chụp hình lại!","Guys, the crane truck has motor failure, take a picture!"
"Trời ơi, máy đóng cọc bị nổ lốp, dừng máy ngay!","Oh my god, the pile driver has a tire blowout, stop the machine immediately!"
"Nhanh lên, xe cẩu hư motor rồi, gọi đội bảo trì!","Hurry up, the crane truck has motor failure, call the maintenance team!"
"Báo cáo giám sát, máy rải nhựa bị kẹt cứng rồi.","Report to supervisor, the asphalt paver is jammed."
